SampleID,Project,Amplicon,CollectionDate,SampleType,Pre_or_PostDentalChew,DogAgeMonths,OtherDogVariables,DogGender,DogBreed,DogSize,DogActivityLevel,DogDisposition,DogFixed,DogHealthProblems,DogHealthHistory,DogVaccinationsCurrent,DogFoodBrand,DogOralIssues,DogDentalChewUse,DogOtherAnimals,DogOtherAnimalType,DogCollectionCity
DM072-1,DogMouth,16S,2019-06-24,Sample,Pre,60,,F,BOXER,R,Light,Friendly,Y,N,NA,Y,PMI_Nutrition,N,N,Y,Dog_Cat,Elk_Ridge
DM071-2,DogMouth,16S,2019-06-28,Sample,Post,24,,M,Unknown_mix,R,Moderate,Happy,Y,N,NA,Y,Ol_Roy,N,N,Y,Dogs,Pleasant_Grove
DM071-1,DogMouth,16S,2019-06-22,Sample,Pre,24,,M,Unknown_Mix,Regular,Moderate,Happy,Y,N,NA,Y,Ol_Roy,N,N,Y,Dogs,Pleasant_Grove
DM070-2,DogMouth,16S,2019-06-12,Sample,Post,24,,M,GOLDEN_RETRIEVER,POODLE,R,Light,Mellow,Y,N,NA,Y,Lifes_Abundance,N,N,N,NA,Elk_Ridge
DM070-1,DogMouth,16S,2019-06-06,Sample,Pre,24,,M,GOLDEN_RETRIEVER,POODLE,R,Light,Mellow,Y,N,NA,Y,Lifes_Abundance,N,N,N,NA,Elk_Ridge
DM054-2,DogMouth,16S,2019-08-26,Sample,Post,72,,F,BORDER_COLLIE,R,Very_Active,Aggressive,Y,N,NA,Unknown,Pedigree,N,N,Y,Dogs,Wallsburg
DM052-2,DogMouth,16S,2019-08-20,Sample,Pre,72,,F,BORDER_COLLIE,R,Very_Active,Aggressive,Y,N,NA,Unknown,Pedigree,N,N,Y,Dogs,Wallsburg
DM052-1,DogMouth,16S,2019-06-28,Sample,Post,60,,F,WEST_HIGHLAND_WHITE_TERRIER_YORKSHIRE_TERRIER,S,Very_Active,Sweet,Y,N,NA,Y,Unknown,N,N,Y,Dog,Orem
DM050-2,DogMouth,16S,2019-06-22,Sample,Pre,60,,F,WEST_HIGHLAND_WHITE_TERRIER_YORKSHIRE_TERRIER,S,Very_Active,Sweet,Y,N,NA,Y,Unknown,N,N,Y,Dog,Orem
DM050-1,DogMouth,16S,2019-06-28,Sample,Post,12,,F,DACHSHUND,MINIATURE_PINSCHER,S,Light,Calm,Y,N,NA,Y,Purina,N,N,Y,Dog,Spanish_Fork
DM046-2,DogMouth,16S,2019-06-22,Sample,Pre,12,,F,DACHSHUND,MINIATURE_PINSCHER,S,Light,Calm,Y,N,NA,Y,Purina,N,N,Y,Dog,Spanish_Fork
DM046-1,DogMouth,16S,2019-07-01,Sample,Post,8,,F,AUSTRALIAN_SHEPHERD,S,Very_Active,Happy,Y,N,NA,Y,Natures_Domain,N,Y,N,NA,Sandy
DM043-2,DogMouth,16S,2019-06-25,Sample,Pre,8,,F,AUSTRALIAN_SHEPHERD,S,Very_Active,Happy,Y,N,NA,Y,Natures_Domain,N,Y,N,NA,Sandy
DM043-1,DogMouth,16S,2019-08-23,Sample,Post,60,,M,WEST_HIGHLAND_WHITE_TERRIER_YORKSHIRE_TERRIER,S,Very_Active,Happy,Y,N,NA,Y,Unknown,N,N,Y,Dog,Orem
DM042-2,DogMouth,16S,2019-08-17,Sample,Pre,60,,M,WEST_HIGHLAND_WHITE_TERRIER_YORKSHIRE_TERRIER,S,Very_Active,Happy,Y,N,NA,Y,Unknown,N,N,Y,Dog,Orem
DM042-1,DogMouth,16S,2019-08-29,Sample,Post,108,,F,AUSTRALIAN_SHEPHERD,S,Light,Shy,Y,N,NA,Y,Kirkland_ Natures_Domain,N,N,Y,Dogs,Eagle_Mountain
DM039-2,DogMouth,16S,2019-08-23,Sample,Pre,108,,F,AUSTRALIAN_SHEPHERD,S,Light,Shy,Y,N,NA,Y,Kirkland_ Natures_Domain,N,N,Y,Dogs,Eagle_Mountain
DM039-1,DogMouth,16S,2019-08-29,Sample,Post,72,,F,JACK_RUSSELL_TERRIER,S,Light,Sedentary,Y,N,NA,Y,Purina,Y,N,Y,Dog,Elk_Ridge
DM038-2,DogMouth,16S,2019-08-23,Sample,Pre,72,,F,JACK_RUSSELL_TERRIER,S,Light,Sedentary,Y,N,NA,Y,Purina,Y,N,Y,Dog,Elk_Ridge
DM038-1,DogMouth,16S,2019-06-30,Sample,Post,12,,M,AUSTRALIAN_SHEPHERD_POODLE,S,Very_Active,Energetic,N,N,NA,Y,Natures_Domain,N,N,N,NA,Orem
DM035-2,DogMouth,16S,2019-06-24,Sample,Pre,12,,M,AUSTRALIAN_SHEPHERD_POODLE,S,Very_Active,Energetic,N,N,NA,Y,Natures_Domain,N,N,N,NA,Orem
